waveform,[0],PXI1Slot7/ai0
t0,12/31/1903  19:00:00.000000,12/14/2017  03:38:55.524437
delta t,5.000000E-7,5.000000E-7

time,Y[0],PXI1Slot7/ai0
12/31/1903  19:00:00.000000,0.000000E+0,-1.261627E-2
12/31/1903  19:00:00.000000,7.071123E-2,-1.249110E-2
12/31/1903  19:00:00.000001,1.000000E-1,-1.258498E-2
12/31/1903  19:00:00.000001,7.070568E-2,-1.258498E-2
12/31/1903  19:00:00.000002,-1.256637E-5,-1.271015E-2
12/31/1903  19:00:00.000002,-7.072456E-2,-1.267886E-2
12/31/1903  19:00:00.000003,-1.000000E-1,-1.255369E-2
12/31/1903  19:00:00.000003,-7.068346E-2,-1.264757E-2
12/31/1903  19:00:00.000004,5.026548E-5,-1.271015E-2
12/31/1903  19:00:00.000004,7.075565E-2,-1.296050E-2
12/31/1903  19:00:00.000005,9.999997E-2,-1.286662E-2
12/31/1903  19:00:00.000005,7.064345E-2,-1.242851E-2
12/31/1903  19:00:00.000006,-1.130973E-4,-1.261627E-2
12/31/1903  19:00:00.000006,-7.080447E-2,-1.271015E-2
12/31/1903  19:00:00.000007,-9.999988E-2,-1.261627E-2
12/31/1903  19:00:00.000007,-7.058561E-2,-1.283533E-2
12/31/1903  19:00:00.000008,2.010618E-4,-1.274145E-2
12/31/1903  19:00:00.000008,7.087099E-2,-1.174006E-2
12/31/1903  19:00:00.000009,9.999968E-2,-1.236593E-2
12/31/1903  19:00:00.000009,7.050991E-2,-1.486939E-2
12/31/1903  19:00:00.000010,-3.141587E-4,-1.418094E-2
12/31/1903  19:00:00.000010,-7.095517E-2,-1.358637E-2
12/31/1903  19:00:00.000011,-9.999928E-2,-1.249110E-2
12/31/1903  19:00:00.000011,-7.041628E-2,-1.321085E-2
12/31/1903  19:00:00.000012,4.523878E-4,-1.424353E-2
12/31/1903  19:00:00.000012,7.105693E-2,-1.405577E-2
12/31/1903  19:00:00.000013,9.999859E-2,-1.336731E-2
12/31/1903  19:00:00.000013,7.030466E-2,-1.277274E-2
12/31/1903  19:00:00.000014,-6.157483E-4,-1.277274E-2
12/31/1903  19:00:00.000014,-7.117619E-2,-1.277274E-2
12/31/1903  19:00:00.000015,-9.999750E-2,-1.280403E-2
12/31/1903  19:00:00.000015,-7.017497E-2,-1.255369E-2
12/31/1903  19:00:00.000016,8.042390E-4,-1.242851E-2
12/31/1903  19:00:00.000016,7.131287E-2,-1.239722E-2
12/31/1903  19:00:00.000017,9.999588E-2,-1.249110E-2
12/31/1903  19:00:00.000017,7.002710E-2,-1.274145E-2
12/31/1903  19:00:00.000018,-1.017858E-3,-1.274145E-2
12/31/1903  19:00:00.000018,-7.146686E-2,-1.283533E-2
12/31/1903  19:00:00.000019,-9.999357E-2,-1.264757E-2
12/31/1903  19:00:00.000019,-6.986095E-2,-1.383671E-2
12/31/1903  19:00:00.000020,1.256604E-3,-1.299179E-2
12/31/1903  19:00:00.000020,7.163805E-2,-1.292921E-2
12/31/1903  19:00:00.000021,9.999040E-2,-1.020669E-2
12/31/1903  19:00:00.000021,6.967640E-2,-1.098902E-2
12/31/1903  19:00:00.000022,-1.520472E-3,-1.199041E-2
12/31/1903  19:00:00.000022,-7.182629E-2,-1.236593E-2
12/31/1903  19:00:00.000023,-9.998619E-2,-1.224075E-2
12/31/1903  19:00:00.000023,-6.947331E-2,-1.205299E-2
12/31/1903  19:00:00.000024,1.809459E-3,-1.208429E-2
12/31/1903  19:00:00.000024,7.203145E-2,-1.199041E-2
12/31/1903  19:00:00.000025,9.998072E-2,-1.249110E-2
12/31/1903  19:00:00.000025,6.925153E-2,-1.267886E-2
12/31/1903  19:00:00.000026,-2.123557E-3,-1.245981E-2
12/31/1903  19:00:00.000026,-7.225335E-2,-1.236593E-2
12/31/1903  19:00:00.000027,-9.997378E-2,-1.242851E-2
12/31/1903  19:00:00.000027,-6.901092E-2,-1.164618E-2
12/31/1903  19:00:00.000028,2.462760E-3,-1.133325E-2
12/31/1903  19:00:00.000028,7.249183E-2,-1.264757E-2
12/31/1903  19:00:00.000029,9.996510E-2,-1.358637E-2
12/31/1903  19:00:00.000029,6.875128E-2,-1.346119E-2
12/31/1903  19:00:00.000030,-2.827057E-3,-1.264757E-2
12/31/1903  19:00:00.000030,-7.274669E-2,-1.314826E-2
12/31/1903  19:00:00.000031,-9.995443E-2,-1.274145E-2
12/31/1903  19:00:00.000031,-6.847246E-2,-1.202170E-2
12/31/1903  19:00:00.000032,3.216436E-3,-1.314826E-2
12/31/1903  19:00:00.000032,7.301772E-2,-1.324214E-2
12/31/1903  19:00:00.000033,9.994148E-2,-1.277274E-2
12/31/1903  19:00:00.000033,6.817424E-2,-1.296050E-2
12/31/1903  19:00:00.000034,-3.630883E-3,-1.230334E-2
12/31/1903  19:00:00.000034,-7.330470E-2,-1.189653E-2
12/31/1903  19:00:00.000035,-9.992596E-2,-1.236593E-2
12/31/1903  19:00:00.000035,-6.785642E-2,-1.380542E-2
12/31/1903  19:00:00.000036,4.070379E-3,-1.499457E-2
12/31/1903  19:00:00.000036,7.360740E-2,-1.358637E-2
12/31/1903  19:00:00.000037,9.990753E-2,-1.261627E-2
12/31/1903  19:00:00.000037,6.751880E-2,-1.264757E-2
12/31/1903  19:00:00.000038,-4.534904E-3,-1.321085E-2
12/31/1903  19:00:00.000038,-7.392557E-2,-1.299179E-2
12/31/1903  19:00:00.000039,-9.988586E-2,-1.305438E-2
12/31/1903  19:00:00.000039,-6.716113E-2,-1.255369E-2
12/31/1903  19:00:00.000040,5.024432E-3,-1.233463E-2
12/31/1903  19:00:00.000040,7.425893E-2,-1.183394E-2
12/31/1903  19:00:00.000041,9.986059E-2,-1.245981E-2
12/31/1903  19:00:00.000041,6.678319E-2,-1.277274E-2
12/31/1903  19:00:00.000042,-5.538933E-3,-1.280403E-2
12/31/1903  19:00:00.000042,-7.460719E-2,-1.274145E-2
12/31/1903  19:00:00.000043,-9.983134E-2,-1.308567E-2
12/31/1903  19:00:00.000043,-6.638472E-2,-1.283533E-2
12/31/1903  19:00:00.000044,6.078374E-3,-1.245981E-2
12/31/1903  19:00:00.000044,7.497006E-2,-1.277274E-2
12/31/1903  19:00:00.000045,9.979771E-2,-1.267886E-2
12/31/1903  19:00:00.000045,6.596548E-2,-1.280403E-2
12/31/1903  19:00:00.000046,-6.642715E-3,-1.227205E-2
12/31/1903  19:00:00.000046,-7.534722E-2,-1.321085E-2
12/31/1903  19:00:00.000047,-9.975929E-2,-1.308567E-2
12/31/1903  19:00:00.000047,-6.552519E-2,-1.292921E-2
12/31/1903  19:00:00.000048,7.231911E-3,-1.242851E-2
12/31/1903  19:00:00.000048,7.573832E-2,-1.211558E-2
12/31/1903  19:00:00.000049,9.971565E-2,-1.217817E-2
12/31/1903  19:00:00.000049,6.506357E-2,-1.233463E-2
12/31/1903  19:00:00.000050,-7.845910E-3,-1.280403E-2
12/31/1903  19:00:00.000050,-7.614303E-2,-1.239722E-2
12/31/1903  19:00:00.000051,-9.966634E-2,-1.255369E-2
12/31/1903  19:00:00.000051,-6.458036E-2,-1.311697E-2
12/31/1903  19:00:00.000052,8.484653E-3,-1.255369E-2
12/31/1903  19:00:00.000052,7.656095E-2,-1.289791E-2
12/31/1903  19:00:00.000053,9.961087E-2,-1.302309E-2
12/31/1903  19:00:00.000053,6.407524E-2,-1.274145E-2
12/31/1903  19:00:00.000054,-9.148076E-3,-1.258498E-2
12/31/1903  19:00:00.000054,-7.699172E-2,-1.280403E-2
12/31/1903  19:00:00.000055,-9.954877E-2,-1.274145E-2
12/31/1903  19:00:00.000055,-6.354794E-2,-1.239722E-2
12/31/1903  19:00:00.000056,9.836105E-3,-1.258498E-2
12/31/1903  19:00:00.000056,7.743490E-2,-1.199041E-2
12/31/1903  19:00:00.000057,9.947953E-2,-1.361766E-2
12/31/1903  19:00:00.000057,6.299814E-2,-1.330473E-2
12/31/1903  19:00:00.000058,-1.054866E-2,-1.414965E-2
12/31/1903  19:00:00.000058,-7.789009E-2,-1.292921E-2
12/31/1903  19:00:00.000059,-9.940263E-2,-1.202170E-2
12/31/1903  19:00:00.000059,-6.242553E-2,-1.236593E-2
12/31/1903  19:00:00.000060,1.128564E-2,-1.289791E-2
12/31/1903  19:00:00.000060,7.835682E-2,-1.092643E-2
12/31/1903  19:00:00.000061,9.931751E-2,-1.008151E-2
12/31/1903  19:00:00.000061,6.182980E-2,-1.242851E-2
12/31/1903  19:00:00.000062,-1.204695E-2,-1.258498E-2
12/31/1903  19:00:00.000062,-7.883464E-2,-1.299179E-2
12/31/1903  19:00:00.000063,-9.922363E-2,-1.267886E-2
12/31/1903  19:00:00.000063,-6.121062E-2,-1.242851E-2
12/31/1903  19:00:00.000064,1.283248E-2,-1.411835E-2
12/31/1903  19:00:00.000064,7.932306E-2,-1.333602E-2
12/31/1903  19:00:00.000065,9.912040E-2,-1.130195E-2
12/31/1903  19:00:00.000065,6.056767E-2,-1.055091E-2
12/31/1903  19:00:00.000066,-1.364210E-2,-1.148971E-2
12/31/1903  19:00:00.000066,-7.982157E-2,-1.302309E-2
12/31/1903  19:00:00.000067,-9.900723E-2,-1.333602E-2
12/31/1903  19:00:00.000067,-5.990061E-2,-1.239722E-2
12/31/1903  19:00:00.000068,1.447569E-2,-1.227205E-2
12/31/1903  19:00:00.000068,8.032964E-2,-1.230334E-2
12/31/1903  19:00:00.000069,9.888351E-2,-1.286662E-2
12/31/1903  19:00:00.000069,5.920912E-2,-1.296050E-2
12/31/1903  19:00:00.000070,-1.533308E-2,-1.274145E-2
12/31/1903  19:00:00.000070,-8.084673E-2,-1.255369E-2
12/31/1903  19:00:00.000071,-9.874860E-2,-1.280403E-2
12/31/1903  19:00:00.000071,-5.849287E-2,-1.239722E-2
12/31/1903  19:00:00.000072,1.621412E-2,-1.214687E-2
12/31/1903  19:00:00.000072,8.137226E-2,-1.252239E-2
12/31/1903  19:00:00.000073,9.860187E-2,-1.252239E-2
12/31/1903  19:00:00.000073,5.775150E-2,-1.289791E-2
12/31/1903  19:00:00.000074,-1.711863E-2,-1.202170E-2
12/31/1903  19:00:00.000074,-8.190564E-2,-1.271015E-2
12/31/1903  19:00:00.000075,-9.844266E-2,-1.333602E-2
12/31/1903  19:00:00.000075,-5.698469E-2,-1.289791E-2
12/31/1903  19:00:00.000076,1.804642E-2,-1.242851E-2
12/31/1903  19:00:00.000076,8.244626E-2,-1.239722E-2
12/31/1903  19:00:00.000077,9.827028E-2,-1.264757E-2
12/31/1903  19:00:00.000077,5.619210E-2,-1.289791E-2
12/31/1903  19:00:00.000078,-1.899729E-2,-1.364895E-2
12/31/1903  19:00:00.000078,-8.299349E-2,-1.292921E-2
12/31/1903  19:00:00.000079,-9.808404E-2,-1.249110E-2
12/31/1903  19:00:00.000079,-5.537339E-2,-1.271015E-2
12/31/1903  19:00:00.000080,1.997100E-2,-1.271015E-2
12/31/1903  19:00:00.000080,8.354666E-2,-1.283533E-2
12/31/1903  19:00:00.000081,9.788324E-2,-1.274145E-2
12/31/1903  19:00:00.000081,5.452822E-2,-1.252239E-2
12/31/1903  19:00:00.000082,-2.096732E-2,-1.277274E-2
12/31/1903  19:00:00.000082,-8.410508E-2,-1.267886E-2
12/31/1903  19:00:00.000083,-9.766715E-2,-1.280403E-2
12/31/1903  19:00:00.000083,-5.365627E-2,-1.255369E-2
12/31/1903  19:00:00.000084,2.198598E-2,-1.258498E-2
12/31/1903  19:00:00.000084,8.466806E-2,-1.252239E-2
12/31/1903  19:00:00.000085,9.743504E-2,-1.236593E-2
12/31/1903  19:00:00.000085,5.275720E-2,-1.264757E-2
12/31/1903  19:00:00.000086,-2.302671E-2,-1.274145E-2
12/31/1903  19:00:00.000086,-8.523487E-2,-1.274145E-2
12/31/1903  19:00:00.000087,-9.718616E-2,-1.249110E-2
12/31/1903  19:00:00.000087,-5.183069E-2,-1.264757E-2
12/31/1903  19:00:00.000088,2.408921E-2,-1.271015E-2
12/31/1903  19:00:00.000088,8.580474E-2,-1.249110E-2
12/31/1903  19:00:00.000089,9.691974E-2,-1.242851E-2
12/31/1903  19:00:00.000089,5.087642E-2,-1.255369E-2
12/31/1903  19:00:00.000090,-2.517315E-2,-1.292921E-2
12/31/1903  19:00:00.000090,-8.637691E-2,-1.336731E-2
12/31/1903  19:00:00.000091,-9.663500E-2,-1.211558E-2
12/31/1903  19:00:00.000091,-4.989408E-2,-1.202170E-2
12/31/1903  19:00:00.000092,2.627820E-2,-1.249110E-2
12/31/1903  19:00:00.000092,8.695057E-2,-1.299179E-2
12/31/1903  19:00:00.000093,9.633117E-2,-1.336731E-2
12/31/1903  19:00:00.000093,4.888337E-2,-1.302309E-2
12/31/1903  19:00:00.000094,-2.740398E-2,-1.267886E-2
12/31/1903  19:00:00.000094,-8.752489E-2,-1.152101E-2
12/31/1903  19:00:00.000095,-9.600743E-2,-1.336731E-2
12/31/1903  19:00:00.000095,-4.784398E-2,-1.374283E-2
12/31/1903  19:00:00.000096,2.855010E-2,-1.424353E-2
12/31/1903  19:00:00.000096,8.809903E-2,-1.371154E-2
12/31/1903  19:00:00.000097,9.566297E-2,-1.214687E-2
12/31/1903  19:00:00.000097,4.677563E-2,-1.208429E-2
12/31/1903  19:00:00.000098,-2.971616E-2,-1.236593E-2
12/31/1903  19:00:00.000098,-8.867209E-2,-1.296050E-2
12/31/1903  19:00:00.000099,-9.529698E-2,-1.267886E-2
12/31/1903  19:00:00.000099,-4.567804E-2,-1.233463E-2
12/31/1903  19:00:00.000100,3.090170E-2,-1.245981E-2
12/31/1903  19:00:00.000100,8.924319E-2,-1.252239E-2
12/31/1903  19:00:00.000101,9.490862E-2,-1.255369E-2
12/31/1903  19:00:00.000101,4.455096E-2,-1.245981E-2
12/31/1903  19:00:00.000102,-3.210626E-2,-1.283533E-2
12/31/1903  19:00:00.000102,-8.981139E-2,-1.277274E-2
12/31/1903  19:00:00.000103,-9.449706E-2,-1.261627E-2
12/31/1903  19:00:00.000103,-4.339414E-2,-1.255369E-2
12/31/1903  19:00:00.000104,3.332935E-2,-1.258498E-2
12/31/1903  19:00:00.000104,9.037575E-2,-1.271015E-2
12/31/1903  19:00:00.000105,9.406144E-2,-1.239722E-2
12/31/1903  19:00:00.000105,4.220733E-2,-1.220946E-2
12/31/1903  19:00:00.000106,-3.457044E-2,-1.289791E-2
12/31/1903  19:00:00.000106,-9.093527E-2,-1.346119E-2
12/31/1903  19:00:00.000107,-9.360092E-2,-1.264757E-2
12/31/1903  19:00:00.000107,-4.099031E-2,-1.195911E-2
